agreement_type,agreement_type_issue,claimant_description,defendant_descripion,cicumstance_invoked_code,circumstance_invoked,first_resolution_code,first_resolution,second_resolution_code,second_resolution
01 Sales contract,Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation, but can delay refunding if they have not received the goods or evidence that you have returned the goods.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning good
The trader should inform you that you have to pay the costs of returning the goods. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.

Bulky goods - costs of returning them
For bulky goods (such as large household equipment), the trader must give you at least an estimation of the cost of returning them.

Bulky goods bought from a door-to-door salesperson and delivered to you immediately must always, however, be collected by the trader at their own expense.",,6_02_30_non_payment_reimbursement_price_of_good,Non reimbursement - price of good,7_1_cancellation,I want to get a refund of difference,,
01 Sales contract,Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation, but can delay refunding if they have not received the goods or evidence that you have returned the goods.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning good
The trader should inform you that you have to pay the costs of returning the goods. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.

Bulky goods - costs of returning them
For bulky goods (such as large household equipment), the trader must give you at least an estimation of the cost of returning them.

Bulky goods bought from a door-to-door salesperson and delivered to you immediately must always, however, be collected by the trader at their own expense.",,6_02_30_non_payment_reimbursment_shipping_charges,Non reimbursement - shipping charges,7_1_cancellation,I want to get a refund of difference,,
01 Sales contract,Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation, but can delay refunding if they have not received the goods or evidence that you have returned the goods.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning good
The trader should inform you that you have to pay the costs of returning the goods. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.

Bulky goods - costs of returning them
For bulky goods (such as large household equipment), the trader must give you at least an estimation of the cost of returning them.

Bulky goods bought from a door-to-door salesperson and delivered to you immediately must always, however, be collected by the trader at their own expense.",,6_02_30_non_payment_reimbursment_shipping_charges_price_good,Non reimbursement - shipping charges and price of good,7_1_cancellation,I want to get a refund of difference,,
01 Sales contract,Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation, but can delay refunding if they have not received the goods or evidence that you have returned the goods.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning good
The trader should inform you that you have to pay the costs of returning the goods. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.

Bulky goods - costs of returning them
For bulky goods (such as large household equipment), the trader must give you at least an estimation of the cost of returning them.

Bulky goods bought from a door-to-door salesperson and delivered to you immediately must always, however, be collected by the trader at their own expense.",,6_02_30_non_payment_reimbursment_other_charges,Non reimbursement - other charges,7_1_cancellation,I want to get a refund of difference,,
01 Sales contract,Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation, but can delay refunding if they have not received the goods or evidence that you have returned the goods.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning good
The trader should inform you that you have to pay the costs of returning the goods. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.

Bulky goods - costs of returning them
For bulky goods (such as large household equipment), the trader must give you at least an estimation of the cost of returning them.

Bulky goods bought from a door-to-door salesperson and delivered to you immediately must always, however, be collected by the trader at their own expense.",,6_02_31_insufficient_reimbursment_price_of_service,Insufficient reimbursement - price of good,7_1_cancellation,I want to get a refund of difference,,
01 Sales contract,Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation, but can delay refunding if they have not received the goods or evidence that you have returned the goods.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning good
The trader should inform you that you have to pay the costs of returning the goods. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.

Bulky goods - costs of returning them
For bulky goods (such as large household equipment), the trader must give you at least an estimation of the cost of returning them.

Bulky goods bought from a door-to-door salesperson and delivered to you immediately must always, however, be collected by the trader at their own expense.",,6_02_31_insufficient_reimbursment_shipping_charges,Insufficient reimbursement -shipping charges,7_1_cancellation,I want to get a refund of difference,,
01 Sales contract,Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation, but can delay refunding if they have not received the goods or evidence that you have returned the goods.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning good
The trader should inform you that you have to pay the costs of returning the goods. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.

Bulky goods - costs of returning them
For bulky goods (such as large household equipment), the trader must give you at least an estimation of the cost of returning them.

Bulky goods bought from a door-to-door salesperson and delivered to you immediately must always, however, be collected by the trader at their own expense.",,6_02_31_insufficient_reimbursment_shipping_charges_price_of_good,Insufficient reimbursement -shipping charges and price of good,7_1_cancellation,I want to get a refund of difference,,
01 Sales contract,Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation, but can delay refunding if they have not received the goods or evidence that you have returned the goods.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning good
The trader should inform you that you have to pay the costs of returning the goods. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.

Bulky goods - costs of returning them
For bulky goods (such as large household equipment), the trader must give you at least an estimation of the cost of returning them.

Bulky goods bought from a door-to-door salesperson and delivered to you immediately must always, however, be collected by the trader at their own expense.",,6_02_31_insufficient_reimbursment_other_charges,Insufficient reimbursement - other charges,7_1_cancellation,I want to get a refund of difference,,
01 Sales contract,Good is not as expected or what you paid for,"Consumer goods are presumed not to be in conformity with the contract if they:
(a) do not comply with the description given by the seller and do not possess the qualities of the goods which the seller has held out to the consumer as a sample or model

(b) are not fit for any particular purpose for which the consumer requires them and which he made known to the seller at the time of conclusion of the contract and which the seller has accepted

(c) are not fit for the purposes for which goods of the same type are normally used

(d) do not show the quality and performance which are normal in goods of the same type and which the consumer can reasonably expect, given the nature of the goods and taking into account any public statements on the specific characteristics of the goods made about them by the seller, the producer or his representative, particularly in advertising or on labelling.",,6_02_35_service_not_conform_order,Good not in conformity with the order,7_2_demand_repair_replacement_faulty_good,I want to demand repair or replacement,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want a reduction of purchase price
01 Sales contract,Good is not as expected or what you paid for,"Consumer goods are presumed not to be in conformity with the contract if they:
(a) do not comply with the description given by the seller and do not possess the qualities of the goods which the seller has held out to the consumer as a sample or model

(b) are not fit for any particular purpose for which the consumer requires them and which he made known to the seller at the time of conclusion of the contract and which the seller has accepted

(c) are not fit for the purposes for which goods of the same type are normally used

(d) do not show the quality and performance which are normal in goods of the same type and which the consumer can reasonably expect, given the nature of the goods and taking into account any public statements on the specific characteristics of the goods made about them by the seller, the producer or his representative, particularly in advertising or on labelling.",,6_02_35_service_not_conform_order,Good not in conformity with the order,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want a reduction of purchase price,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase
